[27/04/2019 - 13:16:51] - BerN deu admin nivel 1342 para Saimu [27/4/2019] ás [13:16:51].
[28/02/2020 - 11:37:55] - cloZe deu admin nivel 1 para winRAR [28/2/2020] ás [11:37:55].
[28/02/2020 - 11:39:47] - cloZe deu admin nivel 1340 para winRAR [28/2/2020] ás [11:39:47].
[28/02/2020 - 11:41:08] - cloZe deu admin nivel 1341 para winRAR [28/2/2020] ás [11:41:8].
[28/02/2020 - 11:41:18] - cloZe deu admin nivel 1340 para winRAR [28/2/2020] ás [11:41:18].
[28/02/2020 - 11:41:20] - cloZe deu admin nivel 1341 para winRAR [28/2/2020] ás [11:41:20].
[28/02/2020 - 13:33:46] - cloZe deu admin nivel 1341 para winRAR [28/2/2020] ás [13:33:46].
[28/02/2020 - 23:26:24] - cloZe apagou a vaga 2 de winRAR [28/2/2020] ás [23:26:24].
[28/02/2020 - 23:26:36] - cloZe apagou a vaga 1 de winRAR [28/2/2020] ás [23:26:36].
[28/02/2020 - 23:27:24] - cloZe deu admin nivel 1341 para winRAR [28/2/2020] ás [23:27:24].
[28/02/2020 - 23:36:07] - cloZe deu admin nivel 1341 para winRAR [28/2/2020] ás [23:36:7].
[08/04/2021 - 20:53:29] - King_Guhh deu admin nivel 1 para King_Guhh [8/4/2021] ás [20:53:29].
[08/04/2021 - 21:08:31] - King_Guhh1 deu admin nivel 1342 para King_Guhh [8/4/2021] ás [21:8:31].
[08/04/2021 - 21:09:48] - King_Guhh1 deu admin nivel 1342 para King_Guhh1 [8/4/2021] ás [21:9:48].
[19/06/2021 - 20:30:04] - Vgzinn deu admin nivel 1342 para Menor_vl [19/6/2021] ás [20:30:4].
[21/06/2021 - 03:59:43] - Vgzinn deu admin nivel 1341 para Nike_exe [21/6/2021] ás [3:59:43].
[21/06/2021 - 22:06:41] - Vgzinn_Zs deu admin nivel 1341 para Riquelme_Emanuel [21/6/2021] ás [22:6:41].
[24/06/2021 - 21:30:56] - Vgzinn_Zs deu admin nivel 4 para Jaozin_Silva [24/6/2021] ás [21:30:56].
