[24/6/2021] [20:46:9] Jaozin_Silva IP:200.14.127.241 foi banido pelo admin Vgzinn_Zs, motivo: k
[25/6/2021] [21:13:24] Bico_Samp IP:189.127.149.165 foi banido pelo admin Riquelme_Emanuel, motivo: HACK
[26/6/2021] [6:3:19] DUDU244 IP:200.9.105.137 foi banido pelo admin Riquelme_Emanuel, motivo: sobet
[26/6/2021] [20:16:44] Lucas_Lima IP:177.79.114.2 foi banido pelo admin Automático, motivo: Car Spam
[26/6/2021] [20:16:44] Lucas_Lima IP:177.79.114.2 foi banido pelo admin Automático, motivo: Car Spam
[26/6/2021] [20:16:44] Lucas_Lima IP:177.79.114.2 foi banido pelo admin Automático, motivo: Car Spam
[26/6/2021] [20:16:44] Bkzin_phjr IP:170.81.156.77 foi banido pelo admin Vgzinn, motivo: MARTELINHO DO BAN
[26/6/2021] [20:16:44] balbal_bo IP:186.205.13.234 foi banido pelo admin Automático, motivo: Car Spam
[28/6/2021] [21:29:39] LUPPEX_GAMING IP:131.221.237.63 foi banido pelo admin Vgzinn, motivo: hack aqui nao
[28/6/2021] [21:29:39] Ana_Clara IP:143.255.109.238 foi banido pelo admin Automático, motivo: Xiter Velocidade
[1/7/2021] [11:31:0] Guilherme_Brabo IP:186.222.129.170 foi banido pelo admin Menor_vl, motivo: hack aki nao
[1/7/2021] [20:46:47] DARZKIZIN IP:170.0.33.208 foi banido pelo admin Automático, motivo: Xiter Velocidade
[1/7/2021] [20:46:47] Bruce_Men IP:177.106.180.244 foi banido pelo admin Automático, motivo: Xiter Velocidade
[2/7/2021] [2:34:18] Xitado.cs IP:45.238.40.144 foi banido pelo admin Vgzinn, motivo: HOJE NAO TELEPORTE
[3/7/2021] [2:9:10] Jose_Carlosss IP:191.7.123.110 foi banido pelo admin Menor_vl, motivo: aki nao 
[3/7/2021] [2:9:10] Poze_menuON IP:177.44.154.34 foi banido pelo admin Riquelme_Emanuel, motivo: hackudao
[3/7/2021] [2:9:10] Vinicius_cv IP:45.128.133.109 foi banido pelo admin Riquelme_Emanuel, motivo: dnv?
[3/7/2021] [16:32:27] emanueli_linda IP:172.107.220.100 foi banido pelo admin Vgzinn, motivo: hack aqui nao
[3/7/2021] [16:32:27] Lipe_Mobile IP:170.78.25.138 foi banido pelo admin Vgzinn, motivo: kk mais hack q n sabe usar
