[25/06/2021 - 15:35:19] - SMS: visao , enviou: jaozinho - CEL:[3514]
[25/06/2021 - 15:47:05] - SMS: ROUBA ELE E DPS PASSA ELE, enviou: Fumassa - CEL:[32428]
[25/06/2021 - 15:47:42] - SMS: JAJ ENTRO /OCC, enviou: Fumassa - CEL:[32428]
[25/06/2021 - 17:28:29] - SMS: VEM HQ PCF RAPIDO TODOS, enviou: Fumassa - CEL:[32428]
[25/06/2021 - 17:28:56] - SMS: ?, enviou: Kira_Do_Moster - CEL:[6414]
[25/06/2021 - 17:54:04] - SMS: cv, enviou: Kira_Do_Moster - CEL:[6414]
[25/06/2021 - 18:23:59] - SMS: ACABOU MSM?, enviou: Fumassa - CEL:[32428]
[25/06/2021 - 18:24:02] - SMS: ACABOU MSM?NE, enviou: Fumassa - CEL:[32428]
[25/06/2021 - 18:24:11] - SMS: ss, enviou: jaozinho - CEL:[3514]
[25/06/2021 - 18:24:13] - SMS: ACABOU MSM?NE PQ VO FECHAR COM OUTRA AQUI, enviou: Fumassa - CEL:[32428]
[25/06/2021 - 18:24:20] - SMS: ss, enviou: jaozinho - CEL:[3514]
[25/06/2021 - 18:24:31] - SMS: SEIS QUE TAO PERDENDO MSM, enviou: Fumassa - CEL:[32428]
[25/06/2021 - 21:33:30] - SMS: ta ocupado ?, enviou: jaozinho - CEL:[3514]
[26/06/2021 - 03:52:39] - SMS: slv, enviou: jaozinho - CEL:[3514]
[26/06/2021 - 04:53:49] - SMS: opa, enviou: jaozinho - CEL:[3514]
[26/06/2021 - 17:24:42] - SMS: viu o contrato ?, enviou: jaozinho - CEL:[3514]
[26/06/2021 - 22:01:39] - SMS: VENDAS ON?, enviou: Fumassa - CEL:[32428]
[26/06/2021 - 22:17:20] - SMS: PODE VIM N TEM NINGUEM AQUI MAIS, enviou: Fumassa - CEL:[32428]
[26/06/2021 - 22:26:18] - SMS: VAI PIER, enviou: Fumassa - CEL:[32428]
[26/06/2021 - 22:26:58] - SMS: O DA RODA GIGANTE, enviou: Fumassa - CEL:[32428]
[27/06/2021 - 16:31:30] - SMS: man o rapoza e soldado?, enviou: Eric_Silva - CEL:[4040]
[28/06/2021 - 16:02:56] - SMS: ou devolve o carro do meu chefe, enviou: Kira_Do_Moster - CEL:[6414]
[29/06/2021 - 13:22:02] - SMS: TAO ATAS DE TU ?, enviou: Kira_Do_Moster - CEL:[6414]
[29/06/2021 - 13:22:47] - SMS: passa en ferta a prefeitura, enviou: Kira_Do_Moster - CEL:[6414]
[29/06/2021 - 13:24:57] - SMS: VEM MINHA BASE E ENTRA NO MEU CARRO, enviou: Kira_Do_Moster - CEL:[6414]
[29/06/2021 - 18:30:23] - SMS: TIVER QUE RECUSAR TUA DENUNCIA CONTRA O RED OOC, enviou: Fumassa - CEL:[32428]
[29/06/2021 - 18:30:42] - SMS: PQ TAO DIZENDO QUE TO PEGANDO NO PE DELES OOC, enviou: Fumassa - CEL:[32428]
[01/07/2021 - 15:10:21] - SMS: ae mina que se encontrar comigo, enviou: texugo_gg - CEL:[1006]
[01/07/2021 - 20:11:58] - SMS: OPA, enviou: Rei_Do_Rolas - CEL:[7417]
[01/07/2021 - 20:38:00] - SMS: man q drogas vc tem ?, enviou: KABUTO_TRALHA - CEL:[4925]
[01/07/2021 - 20:44:10] - SMS: ei, enviou: jaozinho - CEL:[3514]
[01/07/2021 - 20:44:19] - SMS: a pm vai invadir, enviou: jaozinho - CEL:[3514]
[01/07/2021 - 22:06:53] - SMS: ANT RP MLK, enviou: Rei_Do_Rolas - CEL:[7417]
[01/07/2021 - 23:07:35] - SMS: ta sem armar, enviou: Paulinho_Davi - CEL:[1497]
[02/07/2021 - 02:09:45] - SMS: visao loirin aqui, enviou: Rei_Do_Rolas - CEL:[7417]
[02/07/2021 - 05:00:30] - SMS: VISAO, enviou: Rei_Do_Rolas - CEL:[7417]
[02/07/2021 - 13:16:49] - SMS: CASADO?, enviou: Rei_Do_Rolas - CEL:[7417]
[02/07/2021 - 13:25:33] - SMS: ola, enviou: kaiozinff - CEL:[7063]
[02/07/2021 - 13:25:46] - SMS: opa, enviou: Sr_Valzera - CEL:[2947]
[02/07/2021 - 19:08:40] - SMS: VISAO, enviou: Rei_Do_Rolas - CEL:[7417]
[02/07/2021 - 19:09:49] - SMS: fala tu mn, enviou: SMOKE_ZX - CEL:[61340]
[02/07/2021 - 19:10:31] - SMS: VISAO CRIA, enviou: Rei_Do_Rolas - CEL:[7417]
[02/07/2021 - 19:10:56] - SMS: mn passa a visao ai q to dando fuga, enviou: SMOKE_ZX - CEL:[61340]
[02/07/2021 - 19:11:40] - SMS: QUANDO TERMINAR FALA PRA NOS CONVERSAR SUA FAVELA, enviou: Rei_Do_Rolas - CEL:[7417]
[03/07/2021 - 00:09:43] - SMS: brotei cria, enviou: Rei_Do_Rolas - CEL:[7417]
[03/07/2021 - 00:10:18] - SMS: id 28, enviou: Rei_Do_Rolas - CEL:[7417]
[03/07/2021 - 00:51:16] - SMS: qualtos pm, enviou: kaiozinff - CEL:[7063]
[03/07/2021 - 04:40:37] - SMS: MATOU PRQ?, enviou: Rei_Do_Rolas - CEL:[7417]
[03/07/2021 - 05:08:19] - SMS: visao negociar a cabeca do meu cria ae, enviou: Bonezinho_TDT - CEL:[7304]
[03/07/2021 - 14:12:09] - SMS: voltou prq?, enviou: Rei_Do_Rolas - CEL:[7417]
[03/07/2021 - 14:46:45] - SMS: visao, enviou: Rei_Do_Rolas - CEL:[7417]
[03/07/2021 - 17:06:09] - SMS: eae irmao blz? podemos conversa?, enviou: playbox_silva - CEL:[8040]
[03/07/2021 - 17:07:13] - SMS: eae irmao blz? podemos ser ver pra mim conversa um bagulho cntg, enviou: playbox_silva - CEL:[8040]
[03/07/2021 - 17:13:27] - SMS: eae mam mim encontra prefeitura, enviou: playbox_silva - CEL:[8040]
[03/07/2021 - 17:21:09] - SMS: eae mam, enviou: playbox_silva - CEL:[8040]
[03/07/2021 - 17:22:25] - SMS: eae , enviou: playbox_silva - CEL:[8040]
[03/07/2021 - 19:38:54] - SMS: bora ronda eu e tu pm e rota sou c1, enviou: Lzinn_07 - CEL:[1002]
[03/07/2021 - 19:39:15] - SMS: vamo po vem dp ls, enviou: Zuerim_Bahiano - CEL:[7934]
[03/07/2021 - 19:39:33] - SMS: to pref, enviou: Lzinn_07 - CEL:[1002]
[03/07/2021 - 19:41:30] - SMS: vem dp aqui mano, enviou: Zuerim_Bahiano - CEL:[7934]
[03/07/2021 - 19:41:46] - SMS: okok a caminho, enviou: Lzinn_07 - CEL:[1002]
[03/07/2021 - 19:42:05] - SMS: ok, enviou: Zuerim_Bahiano - CEL:[7934]
[03/07/2021 - 19:59:40] - SMS: vem dp, enviou: Zuerim_Bahiano - CEL:[7934]
[03/07/2021 - 19:59:52] - SMS: ok, enviou: Lzinn_07 - CEL:[1002]
[03/07/2021 - 20:01:13] - SMS: vem dp ls , enviou: Zuerim_Bahiano - CEL:[7934]
[03/07/2021 - 20:02:15] - SMS: vem dp ls , enviou: Zuerim_Bahiano - CEL:[7934]
[03/07/2021 - 20:02:29] - SMS: ok ta mei longe, enviou: Lzinn_07 - CEL:[1002]
[03/07/2021 - 20:02:43] - SMS: ta vindo de vtr?, enviou: Zuerim_Bahiano - CEL:[7934]
[03/07/2021 - 20:03:03] - SMS: nao posso pegar vtr, enviou: Lzinn_07 - CEL:[1002]
[03/07/2021 - 20:03:22] - SMS: entendi, enviou: Zuerim_Bahiano - CEL:[7934]
[03/07/2021 - 20:19:01] - SMS: pode vir QG ROTA?, enviou: Lzinn_07 - CEL:[1002]
[03/07/2021 - 20:20:02] - SMS: pode vir QG ROTA?, enviou: Lzinn_07 - CEL:[1002]
[03/07/2021 - 20:21:57] - SMS: pode vir QG ROTA?, enviou: Lzinn_07 - CEL:[1002]
[03/07/2021 - 20:23:49] - SMS: ta ae?, enviou: Zuerim_Bahiano - CEL:[7934]
[03/07/2021 - 20:24:04] - SMS: SIM, enviou: Lzinn_07 - CEL:[1002]
[03/07/2021 - 20:24:17] - SMS: vem dp , enviou: Zuerim_Bahiano - CEL:[7934]
[03/07/2021 - 21:16:31] - SMS: POSSO INVADIR????, enviou: Rei_Do_Rolas - CEL:[7417]
[03/07/2021 - 21:34:22] - SMS: POSSO DOMINAR AE?, enviou: Rei_Do_Rolas - CEL:[7417]
[03/07/2021 - 22:49:09] - SMS: vlw, enviou: Scarface04 - CEL:[7357]
[03/07/2021 - 22:51:35] - SMS: precisa de q so biblia, enviou: Scarface04 - CEL:[7357]
[04/07/2021 - 00:12:25] - SMS: VAI DICAR VINDO MATAR AQUUI?, enviou: Rei_Do_Rolas - CEL:[7417]
[04/07/2021 - 14:36:02] - SMS: eae mano, enviou: Scarface04 - CEL:[7357]
[04/07/2021 - 15:38:05] - SMS: SERIO RED?, enviou: Rei_Do_Rolas - CEL:[7417]
[04/07/2021 - 17:55:55] - SMS: visao, enviou: Rei_Do_Rolas - CEL:[7417]
[04/07/2021 - 17:56:10] - SMS: bagui que falei proc n foi proc n, enviou: Rei_Do_Rolas - CEL:[7417]
[04/07/2021 - 17:56:21] - SMS: mais desculpa qualquer coisa, enviou: Rei_Do_Rolas - CEL:[7417]
[04/07/2021 - 17:56:46] - SMS: se entendeu algo de errado., enviou: Rei_Do_Rolas - CEL:[7417]
[04/07/2021 - 17:57:09] - SMS: VCS VAO AJUDA NA INVASAO ?, enviou: jaozinho - CEL:[3514]
[04/07/2021 - 17:57:14] - SMS: VCS VAO AJUDA NA INVASAO ?, enviou: jaozinho - CEL:[3514]
[04/07/2021 - 17:58:11] - SMS: invasao? onde?, enviou: Ezequiel_Saffo - CEL:[6472]
[04/07/2021 - 21:26:05] - SMS: oi mn, enviou: ERIMAX_OLH_PCC - CEL:[5933]
[04/07/2021 - 21:27:08] - SMS: oi mn vc mim recruta, enviou: ERIMAX_OLH_PCC - CEL:[5933]
[04/07/2021 - 21:30:28] - SMS: oi mn vc mim recruta, enviou: ERIMAX_OLH_PCC - CEL:[5933]
[04/07/2021 - 22:14:57] - SMS: CASADO?, enviou: Rei_Do_Rolas - CEL:[7417]
[04/07/2021 - 22:26:10] - SMS: A TALIBAN TA RECRUTANDO E UMA ORG, enviou: Texuguin_ - CEL:[4184]
[05/07/2021 - 05:36:25] - SMS: aonde tu ta quero comprar, enviou: mau_mau - CEL:[9205]
[05/07/2021 - 05:36:51] - SMS: favela turquia, enviou: Bonezinho_TDT - CEL:[7304]
[05/07/2021 - 05:37:43] - SMS: se for vim avisa pra eu te esperar  na porta, enviou: Bonezinho_TDT - CEL:[7304]
[05/07/2021 - 05:38:01] - SMS: vem pier, enviou: mau_mau - CEL:[9205]
[05/07/2021 - 05:38:30] - SMS: a caminho, enviou: Bonezinho_TDT - CEL:[7304]
[05/07/2021 - 05:40:40] - SMS: chegando, enviou: Bonezinho_TDT - CEL:[7304]
[05/07/2021 - 05:40:59] - SMS: to na porta, enviou: mau_mau - CEL:[9205]
[05/07/2021 - 05:44:14] - SMS: tive um avc, enviou: Bonezinho_TDT - CEL:[7304]
[05/07/2021 - 05:44:36] - SMS: ta aonde vou te buscar, enviou: mau_mau - CEL:[9205]
[05/07/2021 - 05:44:46] - SMS: rlx to chegando, enviou: Bonezinho_TDT - CEL:[7304]
[05/07/2021 - 05:45:55] - SMS: vou sacar mais grana se tj chegar fica na porta, enviou: mau_mau - CEL:[9205]
[05/07/2021 - 05:46:07] - SMS: chegguei, enviou: Bonezinho_TDT - CEL:[7304]
[05/07/2021 - 05:47:35] - SMS: estou aqui no final do pier, enviou: Bonezinho_TDT - CEL:[7304]
[05/07/2021 - 05:48:27] - SMS: ta chegando ?, enviou: Bonezinho_TDT - CEL:[7304]
[05/07/2021 - 07:46:54] - SMS: opq, enviou: F7_NXS - CEL:[6479]
[05/07/2021 - 07:47:06] - SMS: nem da o darkizin, enviou: F7_NXS - CEL:[6479]
[05/07/2021 - 07:47:21] - SMS: kkkkkkkkkk, enviou: Bonezinho_TDT - CEL:[7304]
[05/07/2021 - 07:48:35] - SMS: :( fiquei a madruga toda, enviou: F7_NXS - CEL:[6479]
[05/07/2021 - 07:48:58] - SMS: to quase dormindo aqui kkkk, enviou: Bonezinho_TDT - CEL:[7304]
[05/07/2021 - 07:49:25] - SMS: tbm kk, enviou: F7_NXS - CEL:[6479]
[05/07/2021 - 07:55:33] - SMS: vem dc pista, enviou: F7_NXS - CEL:[6479]
[05/07/2021 - 07:57:35] - SMS: vem dc pista, enviou: F7_NXS - CEL:[6479]
[05/07/2021 - 07:58:20] - SMS: vem dc pista, enviou: F7_NXS - CEL:[6479]
[05/07/2021 - 08:03:35] - SMS: ta loko area safe, enviou: F7_NXS - CEL:[6479]
[05/07/2021 - 08:03:39] - SMS: ta loko area safe, enviou: F7_NXS - CEL:[6479]
[05/07/2021 - 08:03:42] - SMS: ta loko area safe, enviou: F7_NXS - CEL:[6479]
[05/07/2021 - 13:57:07] - SMS: posso entrar pda policia, enviou: LITTLE_cyp - CEL:[8595]
[05/07/2021 - 14:16:18] - SMS: posso entrar, enviou: LITTLE_cyp - CEL:[8595]
[05/07/2021 - 14:16:46] - SMS: brota dc da org e manda mensagem  la pfvr , enviou: playbox_silva - CEL:[8040]
[05/07/2021 - 15:28:30] - SMS: TA ONDE?, enviou: Rei_Do_Rolas - CEL:[7417]
[05/07/2021 - 17:30:14] - SMS: eae mam, enviou: playbox_silva - CEL:[8040]
[05/07/2021 - 17:43:52] - SMS: eae mano ta ai?, enviou: Eric_Silva - CEL:[4040]
[05/07/2021 - 17:53:21] - SMS: POSSO IR AE?, enviou: Rei_Do_Rolas - CEL:[7417]
[05/07/2021 - 19:03:23] - SMS: EAE MAM VCS ESTAO ATRAS DE  ALIANCA?, enviou: playbox_silva - CEL:[8040]
[05/07/2021 - 20:27:30] - SMS: atende ai, enviou: Eric_Silva - CEL:[4040]
[06/07/2021 - 00:34:54] - SMS: coloca o titulo , enviou: Carlos_Sales - CEL:[2376]
[06/07/2021 - 02:15:24] - SMS: eae mam vc que fecha uma alianca com  a minha?, enviou: playbox_silva - CEL:[8040]
[06/07/2021 - 02:15:48] - SMS: SOU DE CORP ZE, enviou: Lucas_pinto - CEL:[9920]
[06/07/2021 - 02:16:10] - SMS: n falei cntg n mam, enviou: playbox_silva - CEL:[8040]
[06/07/2021 - 02:20:22] - SMS: cuidado ta tendo muito assalto por aqui, enviou: Zuerim_Bahiano - CEL:[7934]
[06/07/2021 - 02:52:32] - SMS: FAZ MEU CONTRATO, enviou: Carlos_Sales - CEL:[2376]
[06/07/2021 - 02:52:55] - SMS: ok, enviou: mau_mau - CEL:[9205]
[06/07/2021 - 02:53:12] - SMS: ele ta on?, enviou: mau_mau - CEL:[9205]
[06/07/2021 - 02:53:30] - SMS: TA, enviou: Carlos_Sales - CEL:[2376]
[06/07/2021 - 02:53:55] - SMS: qual nome dele, enviou: mau_mau - CEL:[9205]
[06/07/2021 - 02:54:03] - SMS: TEXUGO, enviou: Carlos_Sales - CEL:[2376]
[06/07/2021 - 15:23:08] - SMS: AIIIN , enviou: Lucas_KiLLer - CEL:[3120]
[06/07/2021 - 15:35:11] - SMS: calma real ontem um cara tomo 1/3 por chingamento, enviou: Carlos_Sales - CEL:[2376]
[06/07/2021 - 15:35:22] - SMS: so quero teu bem man, enviou: Carlos_Sales - CEL:[2376]
[06/07/2021 - 18:43:28] - SMS: MATOU PRQ?, enviou: Rei_Do_Rolas - CEL:[7417]
[07/07/2021 - 04:57:48] - SMS: mim botar na sua org, enviou: Bk_dumoster - CEL:[7053]
[07/07/2021 - 04:58:31] - SMS: mim botar na sua org, enviou: Bk_dumoster - CEL:[7053]
[07/07/2021 - 05:00:32] - SMS: vc passou teste?, enviou: Zuerim_Bahiano - CEL:[7934]
[07/07/2021 - 19:01:33] - SMS: PA, enviou: Rei_Do_Rolas - CEL:[7417]
[07/07/2021 - 21:07:43] - SMS: ai me busca aqui no,morro pfv, enviou: Carlos_Sales - CEL:[2376]
[07/07/2021 - 21:42:11] - SMS: mano pago 100k pra vc limpar minha fixa, enviou: texugo_gg - CEL:[1006]
[07/07/2021 - 21:44:30] - SMS: mano pago 100k pra vc limpar minha fixa, enviou: texugo_gg - CEL:[1006]
[07/07/2021 - 21:46:08] - SMS: mano pago 100k pra vc limpar minha fixa, enviou: texugo_gg - CEL:[1006]
[08/07/2021 - 01:02:13] - SMS: tao fazendo contrato pra vc mas eu nao vo te matar, enviou: texugo_gg - CEL:[1006]
[08/07/2021 - 16:14:38] - SMS: ei da /gp vai em hq e vem na taliban min busca pfv se de, enviou: texugo_gg - CEL:[1006]
[08/07/2021 - 16:15:01] - SMS: /gps, enviou: texugo_gg - CEL:[1006]
[08/07/2021 - 16:42:32] - SMS: quer droga MAN, enviou: RAPOZA_BB - CEL:[4062]
[08/07/2021 - 16:43:55] - SMS: QUER DROGA SE QUISER VEM PISTA, enviou: RAPOZA_BB - CEL:[4062]
[08/07/2021 - 16:44:32] - SMS: QUER DROGA SE QUISER VEM PISTA, enviou: RAPOZA_BB - CEL:[4062]
[09/07/2021 - 20:45:20] - SMS: opa ta presizando de soldado , enviou: DaNike.PvP - CEL:[8105]
[10/07/2021 - 03:16:15] - SMS: ;-;, enviou: Rei_Do_Rolas - CEL:[7417]
[10/07/2021 - 15:20:08] - SMS: me seta ae 6eis capa na voz ;-;, enviou: Rei_Do_Rolas - CEL:[7417]
