[28/02/2020 - 13:34:17] - [VENDAS]: winRAR aceitou uma negociação, item: Coração, com 1 unidades por R$0 do jogador cloZe
[25/06/2021 - 15:02:40] - [VENDAS]: texugo_gg aceitou uma negociação, item: Deset Eagle, com 131 unidades por R$0 do jogador lukill_4
[25/06/2021 - 15:56:20] - [VENDAS]: lukill_4 aceitou uma negociação, item: Maconha, com 0 unidades por R$0 do jogador jaozinho
[25/06/2021 - 16:00:33] - [VENDAS]: Kira_Do_Moster aceitou uma negociação, item: MP5, com 90 unidades por R$0 do jogador lukill_4
[25/06/2021 - 16:37:36] - [VENDAS]: iilegal_elemts aceitou uma negociação, item: Maconha, com 0 unidades por R$0 do jogador jaozinho
[25/06/2021 - 17:41:26] - [VENDAS]: iilegal_elemts aceitou uma negociação, item: MP5, com 90 unidades por R$0 do jogador Kira_Do_Moster
[25/06/2021 - 18:37:43] - [VENDAS]: iilegal_elemts aceitou uma negociação, item: Maconha, com 0 unidades por R$0 do jogador Kira_Do_Moster
[26/06/2021 - 06:02:13] - [VENDAS]: itz_eduardo aceitou uma negociação, item: Pizza, com 1 unidades por R$0 do jogador Alerrandro_Cunha
[27/06/2021 - 16:18:12] - [VENDAS]: iilegal_elemts aceitou uma negociação, item: Respeito, com 1 unidades por R$0 do jogador Kira_Do_Moster
[27/06/2021 - 16:28:09] - [VENDAS]: MADRAKINHO aceitou uma negociação, item: Dinheiro, com 8946 unidades por R$0 do jogador Kira_Do_Moster
[27/06/2021 - 19:16:52] - [VENDAS]: Kira_Do_Moster aceitou uma negociação, item: Maconha, com 162 unidades por R$0 do jogador Ezequiel_Saffo
[28/06/2021 - 15:51:12] - [VENDAS]: andre_domi aceitou uma negociação, item: M4, com 249 unidades por R$0 do jogador RAPOZA_BB
[28/06/2021 - 23:33:01] - [VENDAS]: MADRAKINHO aceitou uma negociação, item: LSD, com 100 unidades por R$0 do jogador texugo_gg
[29/06/2021 - 13:12:24] - [VENDAS]: Menor_vl aceitou uma negociação, item: Maconha, com 341 unidades por R$0 do jogador texugo_gg
[29/06/2021 - 13:12:50] - [VENDAS]: Menor_vl aceitou uma negociação, item: Maconha, com 350 unidades por R$0 do jogador texugo_gg
[29/06/2021 - 13:13:13] - [VENDAS]: Menor_vl aceitou uma negociação, item: Maconha, com 329 unidades por R$0 do jogador texugo_gg
[29/06/2021 - 14:41:00] - [VENDAS]: MANDRAKA aceitou uma negociação, item: M4, com 32 unidades por R$0 do jogador jaozinho
[29/06/2021 - 22:58:27] - [VENDAS]: zEverton_Silva aceitou uma negociação, item: Deset Eagle, com 170 unidades por R$0 do jogador Scarface04
[29/06/2021 - 23:04:11] - [VENDAS]: Scarface04 aceitou uma negociação, item: Dinheiro, com 13308 unidades por R$0 do jogador zEverton_Silva
[30/06/2021 - 05:25:47] - [VENDAS]: Vinicius_Russef aceitou uma negociação, item: Maconha, com 366 unidades por R$0 do jogador texugo_gg
[30/06/2021 - 13:21:55] - [VENDAS]: Natan_Insane aceitou uma negociação, item: M4, com 65 unidades por R$0 do jogador Vulgo_Malvadao
[30/06/2021 - 15:22:16] - [VENDAS]: Victor_Insanity aceitou uma negociação, item: Pizza, com 10 unidades por R$0 do jogador Pedrin_.
[30/06/2021 - 15:37:33] - [VENDAS]: Kauan_Santos aceitou uma negociação, item: Pizza, com 10 unidades por R$0 do jogador Pedrin_.
[30/06/2021 - 15:52:24] - [VENDAS]: KPZIN_EXE aceitou uma negociação, item: Maconha, com 1 unidades por R$0 do jogador iilegal_elemts
[01/07/2021 - 13:09:38] - [VENDAS]: Surtado_ff aceitou uma negociação, item: Pizza, com 1 unidades por R$0 do jogador Natan_sousa
[01/07/2021 - 13:10:37] - [VENDAS]: Surtado_ff aceitou uma negociação, item: Garrafa d'água, com 1 unidades por R$0 do jogador Natan_sousa
[01/07/2021 - 14:31:09] - [VENDAS]: jaozinho aceitou uma negociação, item: Respeito, com 2 unidades por R$0 do jogador MANDRAKA
[01/07/2021 - 14:32:35] - [VENDAS]: jaozinho aceitou uma negociação, item: Respeito, com 2 unidades por R$0 do jogador MANDRAKA
[01/07/2021 - 16:34:50] - [VENDAS]: Wagner_Barbosa aceitou uma negociação, item: Maconha, com 40 unidades por R$0 do jogador Sazon
[01/07/2021 - 16:35:09] - [VENDAS]: Wagner_Barbosa aceitou uma negociação, item: Maconha, com 20 unidades por R$0 do jogador Sazon
[01/07/2021 - 16:56:28] - [VENDAS]: VULGO_BK aceitou uma negociação, item: Skin 14, com 1 unidades por R$0 do jogador LITTLE_cyp
[01/07/2021 - 17:12:34] - [VENDAS]: Rei_Jesus aceitou uma negociação, item: Skin 14, com 1 unidades por R$0 do jogador Gefin_DAboca
[01/07/2021 - 17:14:01] - [VENDAS]: Rei_Jesus aceitou uma negociação, item: Skin 16, com 1 unidades por R$0 do jogador Gefin_DAboca
[01/07/2021 - 20:19:51] - [VENDAS]: errieme aceitou uma negociação, item: LSD, com 9 unidades por R$0 do jogador LITTLE_cyp
